section,line_item,fiscal_year,budgeted,actual
Special Articles,Girls/Boyz First Mentoring,2019,1500,1500
Special Articles,Girls/Boyz First Mentoring,2020,1500,
Special Articles,Girls/Boyz First Mentoring,2021,1500,
Special Articles,Kellogg-Hubbard Library,2019,29801,29801
Special Articles,Kellogg-Hubbard Library,2020,29801,
Special Articles,Kellogg-Hubbard Library,2021,29801,
Special Articles,Middlesex Community Conn.,2019,3000,3000
Special Articles,Middlesex Community Conn.,2020,3000,
Special Articles,Middlesex Community Conn.,2021,3000,
Special Articles,Middlesex Conservation Fund,2019,5000,5000
Special Articles,Middlesex Conservation Fund,2020,5000,
Special Articles,Middlesex Conservation Fund,2021,5000,
Special Articles,Montpelier Senior Center,2019,5500,5500
Special Articles,Montpelier Senior Center,2020,5500,
Special Articles,Montpelier Senior Center,2021,7000,
Special Articles,Putnamville Speed Signs,2019,0,0
Special Articles,Putnamville Speed Signs,2020,0,
Special Articles,Putnamville Speed Signs,2021,8000,
Special Articles,Waterbury Area Senior Center,2019,10000,10000
Special Articles,Waterbury Area Senior Center,2020,10000,
Special Articles,Waterbury Area Senior Center,2021,10000,
Special Articles,American Red Cross,2019,250,250
Special Articles,American Red Cross,2020,0,
Special Articles,American Red Cross,2021,250,
Special Articles,Big Heavy World,2019,0,0
Special Articles,Big Heavy World,2020,0,
Special Articles,Big Heavy World,2021,250,
Special Articles,Capstone Community Action,2019,249,249
Special Articles,Capstone Community Action,2020,0,
Special Articles,Capstone Community Action,2021,0,
Special Articles,Circle,2019,199,199
Special Articles,Circle,2020,199,
Special Articles,Circle,2021,199,
Special Articles,Community Harvest of Central Vermont,2019,0,0
Special Articles,Community Harvest of Central Vermont,2020,250,
Special Articles,Community Harvest of Central Vermont,2021,250,
Special Articles,Cross Trail Vermont,2019,1731,1731
Special Articles,Cross Trail Vermont,2020,0,
Special Articles,Cross Trail Vermont,2021,0,
Special Articles,CV Adult Basic Education,2019,250,250
Special Articles,CV Adult Basic Education,2020,250,
Special Articles,CV Adult Basic Education,2021,250,
Special Articles,CV Council on Aging,2019,250,250
Special Articles,CV Council on Aging,2020,250,
Special Articles,CV Council on Aging,2021,250,
Special Articles,CV Dart Animal Response Team,2019,0,0
Special Articles,CV Dart Animal Response Team,2020,0,
Special Articles,CV Dart Animal Response Team,2021,100,
Special Articles,Family Center of Vermont,2019,250,250
Special Articles,Family Center of Vermont,2020,250,
Special Articles,Family Center of Vermont,2021,0,
Special Articles,Good Beginnings,2019,250,250
Special Articles,Good Beginnings,2020,250,
Special Articles,Good Beginnings,2021,250,
Special Articles,Good Samaitian Haven,2019,250,250
Special Articles,Good Samaitian Haven,2020,0,
Special Articles,Good Samaitian Haven,2021,0,
Special Articles,Green Mtn Transit,2019,199,199
Special Articles,Green Mtn Transit,2020,249,
Special Articles,Green Mtn Transit,2021,249,
Special Articles,Green Up Vermont,2019,100,100
Special Articles,Green Up Vermont,2020,100,
Special Articles,Green Up Vermont,2021,100,
Special Articles,Home Share Now,2019,500,500
Special Articles,Home Share Now,2020,250,
Special Articles,Home Share Now,2021,0,
Special Articles,Montpelier Veteran's Council,2019,200,200
Special Articles,Montpelier Veteran's Council,2020,250,
Special Articles,Montpelier Veteran's Council,2021,250,
Special Articles,Mother Up,2019,0,0
Special Articles,Mother Up,2020,250,
Special Articles,Mother Up,2021,0,
Special Articles,Our House of Central Vermont,2019,250,250
Special Articles,Our House of Central Vermont,2020,250,
Special Articles,Our House of Central Vermont,2021,250,
Special Articles,Peoples Health & Wellness,2019,250,250
Special Articles,Peoples Health & Wellness,2020,250,
Special Articles,Peoples Health & Wellness,2021,250,
Special Articles,Sexual Assault Crisis Team,2019,245,245
Special Articles,Sexual Assault Crisis Team,2020,250,
Special Articles,Sexual Assault Crisis Team,2021,250,
Special Articles,T W Wood Gallery,2019,250,250
Special Articles,T W Wood Gallery,2020,250,
Special Articles,T W Wood Gallery,2021,0,
Special Articles,The Childrens Room,2019,250,250
Special Articles,The Childrens Room,2020,250,
Special Articles,The Childrens Room,2021,0,
Special Articles,Vermont Cares,2019,250,250
Special Articles,Vermont Cares,2020,0,
Special Articles,Vermont Cares,2021,0,
Special Articles,VT Assoc for the Blind,2019,249,249
Special Articles,VT Assoc for the Blind,2020,249,
Special Articles,VT Assoc for the Blind,2021,0,
Special Articles,VT Center for Independent Living,2019,199,199
Special Articles,VT Center for Independent Living,2020,199,
Special Articles,VT Center for Independent Living,2021,195,
Special Articles,Vermont Family Network,2019,0,0
Special Articles,Vermont Family Network,2020,0,
Special Articles,Vermont Family Network,2021,250,
Special Articles,VT Rural Fire Prot Task Force,2019,100,100
Special Articles,VT Rural Fire Prot Task Force,2020,100,
Special Articles,VT Rural Fire Prot Task Force,2021,100,
Special Articles,Washington County Diversion,2019,250,250
Special Articles,Washington County Diversion,2020,250,
Special Articles,Washington County Diversion,2021,250,
Special Articles,Washington County Youth Service,2019,175,175
Special Articles,Washington County Youth Service,2020,175,
Special Articles,Washington County Youth Service,2021,175,
Special Articles,Winooski Natural Resources,2019,0,0
Special Articles,Winooski Natural Resources,2020,0,
Special Articles,Winooski Natural Resources,2021,250,
